F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
3.71,2.96,3.5,2.43,4.64,1.31,1.0,0.74,0.48,7.0,15.0,2.0,0.6,18.0,True
-0.72,-0.68,-0.91,-1.41,-0.95,-0.64,10.0,6.2,7.15,205.0,315.0,20.0,14.75,5.0,False
-0.43,-1.67,-1.23,-0.5,-1.77,-1.06,10.0,6.7,6.3,155.0,20.0,15.0,5.75,60.0,False
-1.33,-0.64,-1.52,-1.06,-1.56,-0.33,10.0,7.25,5.05,145.0,20.0,15.0,9.4,-50.0,False
0.33,0.34,-1.05,-0.53,-1.08,-0.06,10.0,5.55,6.9,175.0,295.0,15.0,11.2,40.0,False
3.2,3.37,4.73,2.79,3.17,1.47,1.0,0.46,0.64,37.0,6.0,4.0,1.89,18.0,True
-0.64,-0.93,0.12,-0.97,-0.3,0.12,10.0,5.45,7.3,195.0,100.0,15.0,6.8,-25.0,False
4.16,5.24,2.94,5.99,3.04,2.52,1.0,0.94,0.48,16.0,9.0,1.0,0.12,0.0,True
3.47,2.63,5.21,2.59,5.3,0.53,1.0,0.56,0.83,3.0,7.0,2.0,0.33,18.0,True
3.07,4.14,6.57,3.23,4.17,1.84,1.0,0.98,0.32,30.0,15.0,2.0,1.6,6.0,True
-2.1,-1.68,-0.78,0.01,-0.41,-0.09,10.0,8.35,5.9,145.0,275.0,25.0,8.65,20.0,True
-2.16,0.69,-0.08,-2.96,-2.09,0.5,10.0,7.7,7.45,15.0,225.0,15.0,6.4,-5.0,True
3.38,3.2,5.53,4.06,5.21,1.65,1.0,0.67,0.51,33.0,27.0,2.0,0.73,17.0,False
-2.19,-1.48,0.85,-1.6,-0.98,-0.16,10.0,6.25,9.3,155.0,310.0,15.0,11.55,-15.0,True
-1.19,-1.31,-1.48,0.01,-0.84,0.34,10.0,6.55,5.75,140.0,350.0,15.0,11.85,-15.0,False
-1.2,-1.97,-1.32,-1.37,-2.38,2.06,10.0,6.25,8.7,125.0,230.0,5.0,13.75,-80.0,False
-0.43,1.03,-0.16,-1.73,0.13,1.1,10.0,7.15,5.65,85.0,390.0,25.0,6.35,45.0,False
2.52,2.73,3.99,2.37,2.22,1.02,1.0,0.79,0.72,32.0,0.0,-1.0,0.83,-15.0,True
4.23,4.94,2.14,5.11,2.17,2.47,1.0,0.67,1.03,13.0,34.0,0.0,0.86,-5.0,True
-1.89,-2.76,-2.09,-2.68,-1.92,0.89,10.0,8.25,8.95,195.0,305.0,5.0,13.05,-85.0,True
2.68,3.89,4.49,2.91,3.52,1.02,1.0,0.99,0.58,21.0,30.0,0.0,1.24,-6.0,True
-1.68,-1.72,-2.3,-1.72,-1.37,0.87,10.0,5.15,8.35,5.0,360.0,15.0,13.3,-40.0,False
-0.95,-0.76,-1.59,-1.98,-0.95,1.74,10.0,7.4,6.4,175.0,50.0,15.0,6.5,-35.0,True
-1.36,-0.98,-0.88,-0.13,0.06,-0.76,10.0,6.25,5.35,100.0,165.0,15.0,14.5,100.0,False
-2.5,-2.16,-2.09,-1.35,-1.31,0.04,10.0,8.05,8.45,205.0,255.0,15.0,8.1,35.0,True
2.25,2.41,4.01,2.98,2.27,1.82,1.0,0.82,0.45,-3.0,10.0,2.0,0.37,-18.0,True
2.51,2.72,2.77,3.82,3.75,1.0,1.0,0.44,0.93,7.0,7.0,0.0,0.81,-2.0,True
-1.27,-1.86,0.06,-1.55,-1.25,-0.18,10.0,7.15,8.3,240.0,165.0,25.0,5.4,105.0,False
-1.87,-1.3,-1.62,0.61,-0.49,-0.51,10.0,7.15,5.65,145.0,365.0,25.0,13.0,10.0,False
3.95,3.43,4.32,2.73,3.79,1.76,0.0,0.6,0.1,36.0,9.0,2.0,0.39,18.0,False
-0.53,0.22,-0.24,0.9,1.67,-0.89,10.0,5.05,6.95,190.0,30.0,15.0,9.1,-30.0,False
-1.08,-1.31,-1.31,-1.23,-0.61,-0.38,10.0,5.55,8.15,180.0,65.0,15.0,8.5,-75.0,False
-1.46,-1.01,-1.23,-1.48,-1.11,0.99,10.0,7.6,5.0,205.0,80.0,15.0,10.6,-10.0,False
-2.04,-2.67,-1.92,-2.4,-0.27,-0.06,10.0,7.1,7.15,30.0,85.0,5.0,9.1,-30.0,True
2.29,3.03,4.03,4.57,4.99,1.43,0.0,0.88,0.29,32.0,66.0,4.0,1.19,2.0,True
-2.91,-1.19,-2.67,-1.47,-2.56,2.84,10.0,8.5,7.8,145.0,340.0,5.0,8.0,-10.0,False
-1.64,-0.24,-0.28,3.24,0.8,3.24,10.0,5.75,7.1,125.0,95.0,10.0,5.55,5.0,False
3.14,2.61,3.36,2.79,2.83,1.77,1.0,0.42,0.88,24.0,11.0,4.0,0.34,8.0,False
-2.12,-1.1,-1.43,-1.52,-0.05,4.36,10.0,7.25,7.55,145.0,335.0,15.0,7.1,-85.0,False
-0.94,-0.96,1.82,1.38,-0.86,-0.59,10.0,5.15,7.25,175.0,185.0,15.0,13.95,-35.0,False
2.86,2.66,2.45,5.58,5.86,2.08,1.0,0.16,1.04,33.0,44.0,2.0,1.92,11.0,False
2.39,2.8,2.44,3.29,4.31,0.56,1.0,0.72,0.12,22.0,5.0,2.0,1.64,-5.0,False
1.23,-1.1,-2.47,-1.02,-2.59,0.12,10.0,6.7,9.15,65.0,245.0,15.0,9.6,80.0,True
2.74,2.52,2.12,2.21,2.14,0.69,1.0,0.97,0.57,18.0,3.0,2.0,0.77,-2.0,True
3.03,2.96,5.53,2.66,5.09,3.81,1.0,0.01,0.41,32.0,2.0,2.0,1.34,16.0,False
0.32,-1.27,0.16,-1.92,0.04,1.87,10.0,5.8,8.2,100.0,80.0,25.0,7.75,30.0,False
1.71,-1.81,-2.02,-0.72,-2.02,1.6,10.0,6.15,6.75,60.0,140.0,15.0,13.75,-15.0,False
-1.7,-0.7,-1.28,-1.43,-0.69,-0.63,10.0,6.75,7.05,220.0,185.0,10.0,12.8,5.0,False
8.35,3.18,4.25,2.82,2.5,3.63,1.0,0.86,0.7,36.0,21.0,0.0,2.04,-5.0,True
0.3,-0.17,1.62,0.09,-0.57,-0.61,10.0,5.05,7.4,195.0,85.0,25.0,9.55,65.0,False
-0.19,-0.88,0.28,0.34,0.86,0.85,10.0,6.65,5.95,235.0,230.0,15.0,8.15,10.0,False
3.7,4.32,5.39,3.65,2.83,1.41,1.0,0.47,0.59,40.0,31.0,2.0,1.56,-18.0,False
2.27,3.16,2.28,2.46,3.0,2.63,0.0,0.68,0.75,16.0,26.0,0.0,1.25,-18.0,True
3.54,3.35,2.27,2.95,2.7,1.89,1.0,0.94,0.01,0.0,34.0,4.0,0.25,6.0,True
2.21,4.45,2.67,2.43,4.0,0.56,1.0,0.45,1.0,-4.0,30.0,2.0,1.02,5.0,True
1.36,2.15,0.15,3.79,4.69,0.49,10.0,5.05,5.9,210.0,40.0,15.0,13.95,-30.0,False
2.67,3.31,4.38,2.89,3.86,1.72,1.0,0.49,1.0,7.0,63.0,2.0,1.34,-12.0,True
1.29,0.12,0.61,1.65,0.38,0.29,10.0,5.35,5.6,200.0,125.0,5.0,7.7,-5.0,False
-0.98,-2.71,-0.39,-1.61,0.11,1.31,10.0,8.85,7.9,140.0,295.0,15.0,7.35,-25.0,True
-2.3,-2.13,1.13,0.39,-1.85,1.66,10.0,6.7,6.0,25.0,355.0,15.0,9.1,-70.0,False
3.75,2.41,2.97,2.76,2.34,1.14,1.0,0.39,0.94,12.0,20.0,2.0,1.95,12.0,True
-0.06,-1.33,-1.63,-0.26,2.23,0.36,10.0,6.9,5.45,125.0,25.0,25.0,8.1,30.0,False
-1.54,-1.98,0.63,-0.24,-1.22,-0.81,10.0,6.6,7.95,150.0,85.0,25.0,6.3,35.0,False
3.83,-0.17,-1.66,-1.26,-0.66,1.11,10.0,6.1,7.2,90.0,275.0,10.0,8.1,5.0,False
-2.11,-1.8,0.72,-1.65,-1.11,-0.49,10.0,6.45,7.35,50.0,55.0,15.0,5.95,40.0,True
-0.61,-0.77,0.2,-2.05,-2.09,3.1,10.0,6.15,9.75,215.0,305.0,5.0,9.15,-85.0,False
3.47,2.79,2.34,2.86,3.48,0.55,1.0,0.98,0.26,35.0,9.0,2.0,0.4,-3.0,False
-1.69,-1.91,-1.45,-0.93,-1.24,1.22,10.0,6.35,7.4,45.0,225.0,5.0,14.1,-55.0,True
2.81,2.31,2.66,2.78,2.42,0.88,1.0,0.66,0.78,36.0,13.0,0.0,1.73,-10.0,False
-1.22,-0.56,-1.31,1.68,0.26,-1.01,10.0,5.9,5.15,55.0,125.0,15.0,12.4,-20.0,False
3.15,3.66,4.68,2.43,3.89,1.38,1.0,0.91,0.03,41.0,57.0,4.0,1.94,10.0,False
0.08,-1.44,-1.38,-0.57,-0.25,-0.18,10.0,5.9,6.9,165.0,170.0,15.0,6.15,35.0,False
3.08,2.55,2.51,3.46,2.83,1.61,1.0,0.61,0.04,19.0,7.0,2.0,1.15,-19.0,False
2.39,2.7,3.18,3.07,2.55,0.08,1.0,0.48,0.43,16.0,22.0,4.0,1.61,14.0,True
-2.18,-0.36,-1.88,-0.5,-1.81,1.3,10.0,7.65,7.25,215.0,300.0,15.0,7.05,-25.0,False
2.66,-0.94,-1.03,-1.15,0.83,-0.46,10.0,4.65,7.95,35.0,290.0,15.0,12.1,45.0,False
-1.4,-2.21,-2.03,-2.79,-0.77,1.35,10.0,7.65,8.0,40.0,215.0,5.0,6.9,-75.0,False
-1.44,-1.58,-0.55,-0.16,-2.08,0.51,10.0,7.15,8.3,145.0,65.0,5.0,9.0,-75.0,True
4.23,2.57,3.54,2.26,2.19,0.81,1.0,0.49,0.9,3.0,3.0,0.0,0.52,-6.0,True
-2.49,-0.84,-0.32,-2.22,-2.24,0.81,10.0,6.75,9.8,115.0,35.0,5.0,7.15,-90.0,True
3.24,3.09,3.39,2.6,3.63,0.26,1.0,0.08,0.84,36.0,0.0,3.0,1.06,17.0,True
-2.76,-1.8,-2.96,-1.38,-2.41,0.88,10.0,8.65,8.2,45.0,250.0,15.0,6.8,-10.0,True
-0.57,0.19,0.96,-0.78,0.39,-0.7,10.0,5.7,6.15,170.0,155.0,15.0,13.35,75.0,False
6.64,2.57,4.56,3.58,2.63,1.27,1.0,0.92,0.78,23.0,34.0,2.0,0.81,-17.0,True
3.55,3.24,2.72,4.16,3.68,1.25,1.0,0.22,0.48,19.0,23.0,2.0,1.87,5.0,False
-0.83,-0.57,-0.4,-0.8,0.02,0.83,10.0,5.6,5.75,140.0,120.0,25.0,8.85,25.0,False
-1.77,-2.35,-1.8,-1.14,-2.22,3.89,10.0,8.25,5.95,70.0,210.0,15.0,12.0,-55.0,True
2.49,4.03,3.52,5.91,3.3,4.31,1.0,0.38,0.67,7.0,25.0,0.0,1.54,-1.0,False
-2.44,-2.43,-2.62,-0.75,-0.05,0.88,10.0,6.55,9.65,70.0,140.0,5.0,5.6,-40.0,True
4.11,2.35,3.32,5.39,2.43,0.74,1.0,0.82,0.62,16.0,30.0,0.0,2.0,-7.0,True
0.42,-1.77,-1.93,-1.26,-1.1,1.14,10.0,7.25,6.8,175.0,45.0,5.0,10.55,-80.0,False
-0.79,-1.56,-1.25,-0.09,-0.81,1.37,10.0,6.9,5.15,150.0,340.0,15.0,5.25,-10.0,False
3.45,2.43,2.29,2.88,2.45,0.31,1.0,0.77,0.86,41.0,28.0,2.0,1.81,4.0,True
-0.28,0.4,-0.93,0.03,0.37,1.8,10.0,5.6,5.45,110.0,265.0,5.0,9.9,-70.0,False
-2.27,-2.55,-2.54,-2.45,-1.92,0.62,10.0,8.8,6.8,145.0,150.0,5.0,11.1,-75.0,True
-3.3,-2.5,-2.92,-2.04,-2.95,2.21,10.0,8.95,7.8,30.0,245.0,15.0,8.05,-65.0,True
5.12,2.76,3.4,2.95,4.85,1.18,1.0,1.03,0.14,8.0,20.0,4.0,0.62,16.0,True
-1.64,-0.43,-1.89,-1.16,-1.78,-0.96,10.0,5.7,8.25,105.0,200.0,25.0,9.3,105.0,False
-1.58,-1.92,-0.68,0.89,1.47,-0.52,10.0,8.3,7.4,205.0,210.0,25.0,6.25,10.0,True
-1.04,-1.09,0.54,-1.47,-0.92,-0.92,10.0,5.8,8.7,205.0,360.0,15.0,14.2,70.0,False
2.91,3.23,2.13,3.46,4.64,2.73,1.0,1.05,0.63,9.0,1.0,2.0,0.14,6.0,True
5.86,2.53,7.65,3.32,3.1,2.29,1.0,0.62,0.88,6.0,13.0,2.0,1.75,12.0,True
3.25,2.57,4.34,3.8,2.91,0.43,1.0,0.6,0.47,14.0,13.0,4.0,0.81,9.0,True
2.5,4.63,2.47,6.46,2.41,1.4,1.0,0.78,0.6,24.0,35.0,2.0,0.81,-15.0,True
-1.34,0.4,0.64,-1.47,-0.95,-0.85,10.0,7.25,5.9,215.0,90.0,15.0,5.25,75.0,False
2.56,2.72,2.48,3.03,3.35,3.44,1.0,0.46,1.02,14.0,19.0,2.0,1.41,4.0,True
-0.18,-0.27,3.75,-0.07,-0.96,-0.93,10.0,6.3,5.65,200.0,110.0,15.0,6.0,110.0,False
2.51,4.57,4.14,3.53,3.13,0.14,1.0,0.91,0.62,33.0,4.0,2.0,1.59,18.0,True
-1.13,1.55,-0.7,-0.91,-1.08,-0.07,10.0,5.75,5.55,85.0,250.0,15.0,13.75,45.0,False
0.06,-0.33,-0.21,-0.98,0.21,0.94,10.0,6.4,5.35,85.0,265.0,5.0,14.1,-55.0,False
3.25,2.04,2.27,3.29,3.32,2.0,1.0,1.02,0.68,11.0,61.0,0.0,1.31,-10.0,True
-0.64,2.12,1.54,-0.75,2.24,3.0,10.0,5.1,5.2,55.0,295.0,5.0,14.3,-85.0,False
2.59,4.01,2.66,2.67,3.04,0.58,1.0,0.79,0.18,35.0,52.0,2.0,1.46,16.0,False
2.7,3.65,6.17,3.32,2.73,0.54,1.0,0.65,0.5,7.0,56.0,2.0,1.89,3.0,False
2.7,2.75,3.16,3.35,3.08,3.28,1.0,0.12,0.91,22.0,46.0,4.0,1.88,1.0,False
2.99,3.49,3.96,2.49,2.31,1.35,1.0,0.67,0.69,38.0,29.0,0.0,1.33,-10.0,False
2.75,4.78,3.13,6.99,2.39,0.7,1.0,0.58,0.59,25.0,4.0,2.0,0.3,10.0,False
0.12,0.21,-0.71,-1.19,-0.93,1.86,10.0,5.55,7.6,190.0,55.0,5.0,10.75,-55.0,False
2.24,2.2,2.49,3.09,6.18,0.4,1.0,0.74,0.83,20.0,22.0,2.0,1.54,2.0,True
3.92,2.52,2.59,2.4,3.87,1.35,1.0,1.0,0.52,13.0,51.0,0.0,1.08,-3.0,True
2.49,2.54,3.98,2.57,3.47,1.55,1.0,0.64,0.86,28.0,25.0,2.0,0.55,-19.0,True
2.41,2.26,4.7,2.51,3.32,0.97,1.0,0.97,0.12,1.0,19.0,4.0,1.59,13.0,True
2.45,2.67,3.66,2.83,6.78,1.25,1.0,0.99,0.03,-2.0,20.0,0.0,1.26,-18.0,True
4.2,2.32,3.13,2.53,2.77,2.73,1.0,0.24,1.06,13.0,31.0,4.0,0.96,19.0,True
2.48,3.46,2.69,2.36,5.33,0.59,1.0,0.8,0.48,41.0,12.0,2.0,1.93,-10.0,False
8.0,2.74,3.02,3.99,3.07,0.65,1.0,0.08,0.54,38.0,22.0,2.0,1.53,18.0,False
2.37,2.63,2.57,2.33,3.13,0.94,1.0,0.77,0.56,30.0,44.0,4.0,0.32,2.0,True
3.74,3.13,2.97,3.3,2.81,0.49,1.0,0.89,0.27,27.0,8.0,4.0,1.05,5.0,True
0.21,-2.02,-1.8,-1.61,-1.9,-0.05,10.0,6.5,6.95,60.0,95.0,15.0,7.8,-65.0,True
2.41,2.23,4.25,4.62,3.42,1.14,1.0,0.72,0.55,8.0,4.0,2.0,1.37,-11.0,True
0.0,-1.03,0.28,1.5,0.18,-0.65,10.0,5.5,7.15,180.0,120.0,15.0,14.0,-45.0,False
2.74,2.28,2.61,3.6,2.73,1.16,1.0,0.94,0.42,37.0,16.0,2.0,0.09,15.0,False
0.05,-2.47,-1.38,-1.22,-2.21,0.26,10.0,7.5,9.85,190.0,380.0,25.0,6.5,75.0,True
4.13,7.29,4.19,3.17,3.92,1.87,1.0,0.01,0.94,39.0,41.0,4.0,1.68,10.0,False
3.06,2.79,2.92,2.41,3.07,0.8,1.0,0.87,0.4,7.0,50.0,4.0,0.44,1.0,True
2.27,2.65,2.36,2.59,2.94,1.0,1.0,0.59,0.93,25.0,13.0,2.0,0.36,-20.0,True
2.05,1.35,-0.5,1.78,-0.71,1.13,10.0,5.75,6.75,235.0,130.0,15.0,6.55,-60.0,False
2.66,2.42,2.45,2.87,2.23,1.91,1.0,0.86,0.84,16.0,29.0,2.0,0.99,12.0,True
3.78,5.53,3.31,2.88,3.87,1.25,1.0,0.91,0.5,40.0,45.0,2.0,0.73,5.0,True
-2.39,-2.7,-2.64,-2.09,-1.31,0.61,10.0,7.2,8.5,125.0,100.0,15.0,7.1,-90.0,True
3.42,3.34,6.68,3.13,2.8,0.43,1.0,0.51,0.18,34.0,39.0,2.0,1.84,10.0,False
-1.77,-1.09,-0.52,-1.1,2.45,-0.49,10.0,6.0,9.05,240.0,145.0,15.0,5.5,45.0,False
4.87,3.55,5.46,2.09,3.34,0.99,1.0,0.96,0.53,6.0,3.0,2.0,1.39,15.0,True
4.48,2.92,3.21,2.74,6.22,1.11,1.0,0.74,0.66,17.0,66.0,4.0,1.31,12.0,True
-2.05,-1.75,-1.75,-2.11,-2.28,-0.31,10.0,8.75,5.1,105.0,65.0,15.0,7.05,-5.0,True
5.8,2.17,3.44,5.85,2.11,0.13,1.0,0.81,0.8,6.0,24.0,4.0,1.48,11.0,True
-1.61,-2.18,-0.37,-1.39,-2.12,0.78,10.0,5.5,8.35,50.0,290.0,15.0,8.8,60.0,True
4.16,3.19,2.26,3.04,4.49,0.9,1.0,0.76,0.4,13.0,2.0,0.0,0.77,-19.0,True
